id,path,title,checksum,expected_sections_count
2f2f0e60-a15d-49b6-ab5a-24bd7102d543,proposals/0005-agent-codebase/index,index,5c1cc307c0adbcea07267b9475b07eb7c7d0ce2d9a8ffc7c099595ca75a58352,11
fefeac29-2ebf-4855-9a4a-c10d751eec16,proposals/0003-principles-of-design/index,index,85f1b996a169b2c332651c6ff5b530cb6982055582b6d8d57c85da671fbec004,9
a77baf2b-d179-4523-a52a-33bdf0fca6d9,proposals/0006-remote-imports/index,index,309e0bdd3b0bdd3735639c26359c7be6530feb24203befed41f7bedf41e83857,9
2972d4a1-3561-4521-b486-d97332529931,features/schedule-actions,schedule-actions,5e6a16160721339bd3adb4c73c2937ac8f0e4e226609b453f9fc895ef9a18f10,4
bb893eb0-2169-40d2-a350-cf65a6b99cbf,going-deeper/rockets,rockets,10dffd54bb4a5cc3bb04c2efce0347346fd94427facfb397edc524006f811335,6
cec98ea0-de6e-4d07-a8e0-a0c8875e8db5,proposals/0007-components/index,index,8b4668e8c2f09509b6044b50e6a9c107f23392b223fd618dbb355a501e79c027,11
e5b089ba-9491-4ca1-95f6-c811d52beb9b,going-deeper/infrastructure-providers,infrastructure-providers,a1bdde3fe0d6810b4e83906d6eef61449ea017826a07dfa9f7436cb4ab358f72,17
e173d8b3-571d-46bc-b261-ebd4bbd29fc6,security/authentication,authentication,e4d6a6862be7fc91bf6c2bfe821c3458ef6bd4bbe79c8ebc416d9cc20b90d106,8
8ca5bfff-861a-44e9-a038-bbdf6d77cb2c,graphql,graphql,9b1caef58a8afa1d869ffd42f2a44abf6cd870e3970f161144c12b855badabbe,32
34787029-fa48-4975-bbd8-53ef2c2c6cd7,going-deeper/touch-entities,touch-entities,26064022d935d69d52c24d1750f838133f5a447f2444fc55b1128e5834173d71,2
